client,site,country,tracc_practice,assessment_date,tracc_maturity
Client 1,Site 1,Canada,Focused Improvement,6/10/2016,1.27
Client 1,Site 1,Canada,Focused Improvement,8/12/2016,1.03
Client 1,Site 1,Canada,Focused Improvement,8/24/2016,1.52
Client 1,Site 1,Canada,Focused Improvement,8/30/2016,1
Client 1,Site 1,Canada,Focused Improvement,9/26/2016,1.39
Client 1,Site 1,Canada,Focused Improvement,9/28/2016,1.3
Client 1,Site 1,Canada,Focused Improvement,11/19/2016,1
Client 1,Site 1,Canada,Focused Improvement,12/7/2016,1.52
Client 1,Site 1,Canada,Focused Improvement,12/21/2016,1.73
Client 1,Site 1,Canada,Focused Improvement,1/2/2017,1.75
Client 1,Site 1,Canada,Focused Improvement,1/17/2017,1.67
Client 1,Site 1,Canada,Focused Improvement,2/20/2017,1.13
Client 1,Site 1,Canada,Focused Improvement,3/6/2017,1.66
Client 1,Site 1,Canada,Focused Improvement,3/7/2017,1.61
Client 1,Site 1,Canada,Focused Improvement,3/9/2017,2
Client 1,Site 1,Canada,Focused Improvement,3/15/2017,2.02
Client 1,Site 1,Canada,Focused Improvement,3/21/2017,1.62
Client 1,Site 1,Canada,Focused Improvement,3/22/2017,1.91
Client 1,Site 1,Canada,Focused Improvement,3/27/2017,1
Client 1,Site 1,Canada,Focused Improvement,4/7/2017,2.28
Client 1,Site 1,Canada,Focused Improvement,4/10/2017,1
Client 1,Site 1,Canada,Focused Improvement,4/14/2017,2.08
Client 1,Site 1,Canada,Focused Improvement,4/17/2017,1
Client 1,Site 1,Canada,Focused Improvement,4/20/2017,1.99
Client 1,Site 1,Canada,Focused Improvement,4/21/2017,1.61
Client 1,Site 1,Canada,Focused Improvement,4/27/2017,2.28
Client 1,Site 1,Canada,Focused Improvement,5/3/2017,1.91
Client 1,Site 1,Canada,Focused Improvement,5/4/2017,2.22
Client 1,Site 1,Canada,Focused Improvement,5/9/2017,2.15
Client 1,Site 1,Canada,Focused Improvement,5/17/2017,2.23
Client 1,Site 1,Canada,Focused Improvement,5/26/2017,2.24
Client 1,Site 1,Canada,Focused Improvement,6/15/2018,1
Client 1,Site 1,Canada,Focused Improvement,6/16/2018,1
Client 1,Site 1,Canada,Focused Improvement,6/21/2018,2.38
Client 1,Site 1,Canada,Focused Improvement,6/26/2018,2.38
Client 1,Site 1,Canada,Focused Improvement,7/4/2018,2.49
Client 1,Site 1,Canada,Focused Improvement,7/11/2018,2.48
Client 1,Site 1,Canada,Leading and Managing Change,4/12/2018,1
Client 1,Site 1,Canada,Leading and Managing Change,5/8/2018,1.2
Client 1,Site 1,Canada,Leading and Managing Change,6/7/2018,1.96
Client 1,Site 1,Canada,Leading and Managing Change,6/16/2018,1
Client 1,Site 1,Canada,Leading and Managing Change,6/21/2018,2.38
Client 1,Site 1,Canada,Leading and Managing Change,6/22/2018,2.07
Client 1,Site 1,Canada,Leading and Managing Change,6/27/2018,2.55
Client 1,Site 1,Canada,Leading and Managing Change,7/5/2018,2.54
Client 1,Site 1,Canada,Leading and Managing Change,7/12/2018,2.45
Client 1,Site 1,Canada,Leading and Managing Change,9/20/2018,2.55
Client 1,Site 1,Canada,Leading and Managing Change,10/15/2018,1.28
Client 1,Site 1,Canada,Leading and Managing Change,10/18/2018,1.74
Client 1,Site 1,Canada,Teamwork,1/21/2016,1.28
Client 1,Site 1,Canada,Teamwork,3/31/2016,1.39
Client 1,Site 1,Canada,Teamwork,4/7/2016,1.82
Client 1,Site 1,Canada,Teamwork,4/14/2016,1.16
Client 1,Site 1,Canada,Teamwork,4/22/2016,1.63
Client 1,Site 1,Canada,Teamwork,5/9/2016,1
Client 1,Site 1,Canada,Teamwork,5/26/2016,1.69
Client 1,Site 1,Canada,Teamwork,5/27/2016,1.54
Client 1,Site 1,Canada,Teamwork,6/13/2016,1.7
Client 1,Site 1,Canada,Teamwork,6/24/2016,1.35
Client 1,Site 1,Canada,Teamwork,7/6/2016,1.45
Client 1,Site 1,Canada,Teamwork,7/7/2016,1.61
Client 1,Site 1,Canada,Teamwork,7/20/2016,1.62
Client 1,Site 1,Canada,Teamwork,7/21/2016,1.64
Client 1,Site 1,Canada,Teamwork,8/2/2016,1.62
Client 1,Site 1,Canada,Teamwork,8/24/2016,1.25
Client 1,Site 1,Canada,Teamwork,9/26/2016,1.31
Client 1,Site 1,Canada,Teamwork,9/28/2016,1.45
Client 1,Site 1,Canada,Teamwork,11/14/2016,1.61
Client 1,Site 1,Canada,Teamwork,11/19/2016,1
Client 1,Site 1,Canada,Teamwork,12/7/2016,1.72
Client 1,Site 1,Canada,Teamwork,1/1/2017,1.44
Client 1,Site 1,Canada,Teamwork,1/3/2017,1.61
Client 1,Site 1,Canada,Teamwork,1/10/2017,1
Client 1,Site 1,Canada,Teamwork,1/11/2017,1.33
Client 1,Site 1,Canada,Teamwork,2/24/2017,1.42
Client 1,Site 1,Canada,Teamwork,3/3/2017,2.16
Client 1,Site 1,Canada,Teamwork,3/10/2017,1.69
Client 1,Site 1,Canada,Teamwork,3/13/2017,1.82
Client 1,Site 1,Canada,Teamwork,3/20/2017,1.48
Client 1,Site 1,Canada,Teamwork,3/21/2017,1.41
Client 1,Site 1,Canada,Teamwork,3/30/2017,1.77
Client 1,Site 1,Canada,Teamwork,4/6/2017,1.9
Client 1,Site 1,Canada,Teamwork,4/7/2017,1.29
Client 1,Site 1,Canada,Teamwork,4/8/2017,2.83
Client 1,Site 1,Canada,Teamwork,4/13/2017,2.15
Client 1,Site 1,Canada,Teamwork,4/20/2017,1.68
Client 1,Site 1,Canada,Teamwork,4/21/2017,2.26
Client 1,Site 1,Canada,Teamwork,4/24/2017,2.21
Client 1,Site 1,Canada,Teamwork,4/27/2017,2.52
Client 1,Site 1,Canada,Teamwork,5/2/2017,1.94
Client 1,Site 1,Canada,Teamwork,5/4/2017,2.36
Client 1,Site 1,Canada,Teamwork,5/9/2017,2.56
Client 1,Site 1,Canada,Teamwork,5/17/2017,2.37
Client 1,Site 1,Canada,Teamwork,7/29/2017,1
Client 1,Site 1,Canada,Teamwork,6/15/2018,1
Client 1,Site 1,Canada,Teamwork,6/16/2018,1
Client 1,Site 1,Canada,Teamwork,6/21/2018,2.83
Client 1,Site 1,Canada,Teamwork,6/22/2018,2.6
Client 1,Site 1,Canada,Teamwork,6/27/2018,2.03
Client 1,Site 1,Canada,Teamwork,6/28/2018,1
Client 1,Site 1,Canada,Teamwork,7/5/2018,2.64
Client 1,Site 1,Canada,Teamwork,7/11/2018,2.67
Client 1,Site 1,Canada,Teamwork,9/20/2018,2.54
Client 1,Site 1,Canada,Visual Management,3/30/2016,1.07
Client 1,Site 1,Canada,Visual Management,4/1/2016,1.34
Client 1,Site 1,Canada,Visual Management,4/8/2016,1.58
Client 1,Site 1,Canada,Visual Management,4/14/2016,1.66
Client 1,Site 1,Canada,Visual Management,4/22/2016,1.32
Client 1,Site 1,Canada,Visual Management,5/9/2016,1
Client 1,Site 1,Canada,Visual Management,5/25/2016,1.67
Client 1,Site 1,Canada,Visual Management,5/26/2016,2.18
Client 1,Site 1,Canada,Visual Management,6/13/2016,1.84
Client 1,Site 1,Canada,Visual Management,6/14/2016,1.49
Client 1,Site 1,Canada,Visual Management,6/24/2016,1.07
Client 1,Site 1,Canada,Visual Management,7/6/2016,1.43
Client 1,Site 1,Canada,Visual Management,7/20/2016,1.53
Client 1,Site 1,Canada,Visual Management,8/4/2016,1.52
Client 1,Site 1,Canada,Visual Management,8/12/2016,1
Client 1,Site 1,Canada,Visual Management,8/24/2016,1.37
Client 1,Site 1,Canada,Visual Management,9/26/2016,1.4
Client 1,Site 1,Canada,Visual Management,9/28/2016,1
Client 1,Site 1,Canada,Visual Management,11/9/2016,1.77
Client 1,Site 1,Canada,Visual Management,11/14/2016,1.6
Client 1,Site 1,Canada,Visual Management,11/19/2016,1
Client 1,Site 1,Canada,Visual Management,11/24/2016,1.7
Client 1,Site 1,Canada,Visual Management,12/7/2016,1.64
Client 1,Site 1,Canada,Visual Management,12/12/2016,1.72
Client 1,Site 1,Canada,Visual Management,1/4/2017,1.96
Client 1,Site 1,Canada,Visual Management,1/10/2017,2.16
Client 1,Site 1,Canada,Visual Management,1/11/2017,1.37
Client 1,Site 1,Canada,Visual Management,1/18/2017,1.77
Client 1,Site 1,Canada,Visual Management,2/9/2017,1
Client 1,Site 1,Canada,Visual Management,2/16/2017,1.57
Client 1,Site 1,Canada,Visual Management,2/24/2017,1.41
Client 1,Site 1,Canada,Visual Management,3/2/2017,1.91
Client 1,Site 1,Canada,Visual Management,3/10/2017,1.96
Client 1,Site 1,Canada,Visual Management,3/11/2017,2.21
Client 1,Site 1,Canada,Visual Management,3/18/2017,1
Client 1,Site 1,Canada,Visual Management,3/20/2017,1.1
Client 1,Site 1,Canada,Visual Management,3/21/2017,1.29
Client 1,Site 1,Canada,Visual Management,3/30/2017,1.62
Client 1,Site 1,Canada,Visual Management,4/7/2017,2.27
Client 1,Site 1,Canada,Visual Management,4/13/2017,2.23
Client 1,Site 1,Canada,Visual Management,4/17/2017,2.29
Client 1,Site 1,Canada,Visual Management,4/20/2017,2.33
Client 1,Site 1,Canada,Visual Management,4/21/2017,1.51
Client 1,Site 1,Canada,Visual Management,5/3/2017,2.21
Client 1,Site 1,Canada,Visual Management,5/8/2017,2.3
Client 1,Site 1,Canada,Visual Management,5/16/2017,2.29
Client 1,Site 1,Canada,Visual Management,11/30/2017,1
Client 1,Site 1,Canada,Visual Management,5/25/2018,1
Client 1,Site 1,Canada,Visual Management,6/16/2018,1
Client 1,Site 1,Canada,Visual Management,6/21/2018,2.5
Client 1,Site 1,Canada,Visual Management,6/22/2018,2.05
Client 1,Site 1,Canada,Visual Management,6/26/2018,2.58
Client 1,Site 1,Canada,Visual Management,7/4/2018,2.42
Client 1,Site 1,Canada,Visual Management,7/10/2018,2.77
Client 1,Site 1,Canada,Visual Management,10/18/2018,1.02
Client 2,Site 2,Poland,5S,8/16/2017,1
Client 2,Site 2,Poland,Focused Improvement,8/16/2017,1.19
Client 2,Site 2,Poland,Focused Improvement,10/24/2017,1.19
Client 2,Site 2,Poland,Teamwork,6/30/2017,1
Client 2,Site 2,Poland,Teamwork,9/15/2017,1.08
Client 2,Site 2,Poland,Visual Management,6/29/2017,1
Client 2,Site 2,Poland,Visual Management,6/30/2017,1
Client 2,Site 2,Poland,Visual Management,10/24/2017,1.45
Client 3,Site 3,France,5S,1/11/2016,2.43
Client 3,Site 3,France,5S,1/12/2016,1.99
Client 3,Site 3,France,5S,3/6/2016,2.12
Client 3,Site 3,France,5S,3/29/2016,2.3
Client 3,Site 3,France,5S,3/31/2016,2.1
Client 3,Site 3,France,5S,4/3/2016,1.98
Client 3,Site 3,France,5S,4/4/2016,2.3
Client 3,Site 3,France,5S,7/27/2016,1.44
Client 3,Site 3,France,5S,9/26/2016,1.5
Client 3,Site 3,France,5S,9/27/2016,1.79
Client 3,Site 3,France,5S,10/5/2016,1
Client 3,Site 3,France,5S,10/7/2016,1.91
Client 3,Site 3,France,5S,1/23/2017,1.94
Client 3,Site 3,France,5S,1/31/2017,1.69
Client 3,Site 3,France,5S,2/11/2017,2.69
Client 3,Site 3,France,5S,3/20/2017,1.91
Client 3,Site 3,France,5S,3/31/2017,2.16
Client 3,Site 3,France,5S,4/2/2017,2.28
Client 3,Site 3,France,5S,4/5/2017,1.77
Client 3,Site 3,France,5S,7/13/2017,1.89
Client 3,Site 3,France,5S,7/14/2017,1.9
Client 3,Site 3,France,5S,9/1/2017,2.12
Client 3,Site 3,France,5S,9/4/2017,2.24
Client 3,Site 3,France,5S,11/1/2017,2
Client 3,Site 3,France,5S,11/5/2017,2.28
Client 3,Site 3,France,5S,12/20/2017,1.3
Client 3,Site 3,France,5S,4/30/2018,1
Client 3,Site 3,France,5S,5/10/2018,1.3
Client 3,Site 3,France,5S,5/14/2018,1
Client 3,Site 3,France,5S,6/5/2018,2.21
Client 3,Site 3,France,5S,6/6/2018,2.61
Client 3,Site 3,France,5S,7/10/2018,1.95
Client 3,Site 3,France,5S,7/11/2018,1.77
Client 3,Site 3,France,5S,8/7/2018,1.81
Client 3,Site 3,France,5S,8/8/2018,1
Client 3,Site 3,France,5S,9/29/2018,2.21
Client 3,Site 3,France,5S,9/30/2018,2.22
Client 3,Site 3,France,Focused Improvement,1/11/2016,2.17
Client 3,Site 3,France,Focused Improvement,1/12/2016,2.2
Client 3,Site 3,France,Focused Improvement,3/6/2016,2.09
Client 3,Site 3,France,Focused Improvement,3/24/2016,2.44
Client 3,Site 3,France,Focused Improvement,3/29/2016,2.34
Client 3,Site 3,France,Focused Improvement,3/31/2016,2.24
Client 3,Site 3,France,Focused Improvement,4/3/2016,2.32
Client 3,Site 3,France,Focused Improvement,4/4/2016,2.36
Client 3,Site 3,France,Focused Improvement,7/27/2016,1.54
Client 3,Site 3,France,Focused Improvement,9/27/2016,1.73
Client 3,Site 3,France,Focused Improvement,10/5/2016,1
Client 3,Site 3,France,Focused Improvement,10/7/2016,1.7
Client 3,Site 3,France,Focused Improvement,1/23/2017,1.87
Client 3,Site 3,France,Focused Improvement,1/31/2017,1.62
Client 3,Site 3,France,Focused Improvement,2/11/2017,2.33
Client 3,Site 3,France,Focused Improvement,3/20/2017,1.85
Client 3,Site 3,France,Focused Improvement,3/31/2017,2.03
Client 3,Site 3,France,Focused Improvement,4/2/2017,2.4
Client 3,Site 3,France,Focused Improvement,4/5/2017,1.67
Client 3,Site 3,France,Focused Improvement,7/13/2017,2.21
Client 3,Site 3,France,Focused Improvement,7/14/2017,1.67
Client 3,Site 3,France,Focused Improvement,7/18/2017,2.35
Client 3,Site 3,France,Focused Improvement,9/1/2017,1.82
Client 3,Site 3,France,Focused Improvement,9/4/2017,2.26
Client 3,Site 3,France,Focused Improvement,11/1/2017,2.31
Client 3,Site 3,France,Focused Improvement,11/5/2017,2.22
Client 3,Site 3,France,Focused Improvement,12/20/2017,1.43
Client 3,Site 3,France,Focused Improvement,4/30/2018,1
Client 3,Site 3,France,Focused Improvement,5/10/2018,1.03
Client 3,Site 3,France,Focused Improvement,5/14/2018,1
Client 3,Site 3,France,Focused Improvement,6/5/2018,2.01
Client 3,Site 3,France,Focused Improvement,6/6/2018,2.4
Client 3,Site 3,France,Focused Improvement,7/11/2018,1.86
Client 3,Site 3,France,Focused Improvement,7/27/2018,1.03
Client 3,Site 3,France,Focused Improvement,8/8/2018,1
Client 3,Site 3,France,Focused Improvement,9/29/2018,2.31
Client 3,Site 3,France,Focused Improvement,9/30/2018,2.21
Client 3,Site 3,France,Teamwork,1/11/2016,2.3
Client 3,Site 3,France,Teamwork,1/12/2016,2.2
Client 3,Site 3,France,Teamwork,3/6/2016,2.08
Client 3,Site 3,France,Teamwork,3/23/2016,2.38
Client 3,Site 3,France,Teamwork,3/29/2016,2.56
Client 3,Site 3,France,Teamwork,3/31/2016,2.09
Client 3,Site 3,France,Teamwork,4/3/2016,2.22
Client 3,Site 3,France,Teamwork,4/4/2016,2.59
Client 3,Site 3,France,Teamwork,7/4/2016,1.27
Client 3,Site 3,France,Teamwork,7/25/2016,1.6
Client 3,Site 3,France,Teamwork,7/27/2016,1.46
Client 3,Site 3,France,Teamwork,9/26/2016,1.65
Client 3,Site 3,France,Teamwork,9/27/2016,1.95
Client 3,Site 3,France,Teamwork,10/5/2016,1.12
Client 3,Site 3,France,Teamwork,10/7/2016,1.91
Client 3,Site 3,France,Teamwork,1/23/2017,1.35
Client 3,Site 3,France,Teamwork,1/31/2017,1.79
Client 3,Site 3,France,Teamwork,2/6/2017,1.96
Client 3,Site 3,France,Teamwork,2/11/2017,2.64
Client 3,Site 3,France,Teamwork,2/17/2017,1.14
Client 3,Site 3,France,Teamwork,3/20/2017,1.94
Client 3,Site 3,France,Teamwork,3/31/2017,2.13
Client 3,Site 3,France,Teamwork,4/2/2017,2.48
Client 3,Site 3,France,Teamwork,4/5/2017,1.93
Client 3,Site 3,France,Teamwork,7/13/2017,2.1
Client 3,Site 3,France,Teamwork,7/14/2017,1.87
Client 3,Site 3,France,Teamwork,9/1/2017,2.11
Client 3,Site 3,France,Teamwork,9/4/2017,2.31
Client 3,Site 3,France,Teamwork,11/1/2017,2.26
Client 3,Site 3,France,Teamwork,11/2/2017,2.18
Client 3,Site 3,France,Teamwork,11/5/2017,2.26
Client 3,Site 3,France,Teamwork,12/20/2017,1.29
Client 3,Site 3,France,Teamwork,4/30/2018,1
Client 3,Site 3,France,Teamwork,5/9/2018,1
Client 3,Site 3,France,Teamwork,5/10/2018,1.34
Client 3,Site 3,France,Teamwork,6/5/2018,2.13
Client 3,Site 3,France,Teamwork,7/10/2018,2.17
Client 3,Site 3,France,Teamwork,7/11/2018,1.98
Client 3,Site 3,France,Teamwork,7/14/2018,2.42
Client 3,Site 3,France,Teamwork,7/24/2018,1.98
Client 3,Site 3,France,Teamwork,8/7/2018,1.95
Client 3,Site 3,France,Teamwork,8/8/2018,1
Client 3,Site 3,France,Teamwork,9/29/2018,2.21
Client 3,Site 3,France,Teamwork,9/30/2018,2.2
Client 3,Site 3,France,Visual Management,1/11/2016,2.2
Client 3,Site 3,France,Visual Management,1/12/2016,2.24
Client 3,Site 3,France,Visual Management,3/6/2016,2.21
Client 3,Site 3,France,Visual Management,3/24/2016,2.12
Client 3,Site 3,France,Visual Management,3/29/2016,2.67
Client 3,Site 3,France,Visual Management,3/31/2016,2.25
Client 3,Site 3,France,Visual Management,4/3/2016,2.38
Client 3,Site 3,France,Visual Management,4/4/2016,2.68
Client 3,Site 3,France,Visual Management,7/27/2016,1.77
Client 3,Site 3,France,Visual Management,9/26/2016,1.77
Client 3,Site 3,France,Visual Management,9/27/2016,1.94
Client 3,Site 3,France,Visual Management,10/5/2016,1
Client 3,Site 3,France,Visual Management,10/7/2016,1.95
Client 3,Site 3,France,Visual Management,1/23/2017,1.36
Client 3,Site 3,France,Visual Management,1/31/2017,1.88
Client 3,Site 3,France,Visual Management,2/11/2017,2.52
Client 3,Site 3,France,Visual Management,3/20/2017,1.96
Client 3,Site 3,France,Visual Management,3/31/2017,2.17
Client 3,Site 3,France,Visual Management,4/2/2017,2.12
Client 3,Site 3,France,Visual Management,4/5/2017,1.96
Client 3,Site 3,France,Visual Management,7/13/2017,2.07
Client 3,Site 3,France,Visual Management,7/14/2017,1.8
Client 3,Site 3,France,Visual Management,9/1/2017,2.16
Client 3,Site 3,France,Visual Management,9/4/2017,2.32
Client 3,Site 3,France,Visual Management,11/1/2017,2.1
Client 3,Site 3,France,Visual Management,11/2/2017,2.31
Client 3,Site 3,France,Visual Management,11/5/2017,2.25
Client 3,Site 3,France,Visual Management,12/20/2017,1.29
Client 3,Site 3,France,Visual Management,4/30/2018,1
Client 3,Site 3,France,Visual Management,5/10/2018,1.3
Client 3,Site 3,France,Visual Management,5/14/2018,1
Client 3,Site 3,France,Visual Management,6/5/2018,2.1
Client 3,Site 3,France,Visual Management,6/6/2018,2.52
Client 3,Site 3,France,Visual Management,7/11/2018,2.1
Client 3,Site 3,France,Visual Management,7/14/2018,2.52
Client 3,Site 3,France,Visual Management,8/7/2018,2.17
Client 3,Site 3,France,Visual Management,8/8/2018,1
Client 3,Site 3,France,Visual Management,9/29/2018,1.89
Client 3,Site 3,France,Visual Management,9/30/2018,2.26
Client 4,Site 4,China,5S,7/13/2016,1.1
Client 4,Site 4,China,5S,9/7/2016,1.65
Client 4,Site 4,China,5S,4/20/2017,1.34
Client 4,Site 4,China,5S,4/25/2017,1.19
Client 4,Site 4,China,5S,7/18/2017,1.62
Client 4,Site 4,China,5S,9/27/2017,1.34
Client 4,Site 4,China,5S,10/25/2017,1.13
Client 4,Site 4,China,5S,4/23/2018,1.82
Client 4,Site 4,China,5S,5/3/2018,1.85
Client 4,Site 4,China,5S,7/26/2018,1.9
Client 4,Site 4,China,5S,10/22/2018,1.54
Client 4,Site 4,China,Focused Improvement,11/1/2016,1
Client 4,Site 4,China,Focused Improvement,12/6/2016,1.13
Client 4,Site 4,China,Focused Improvement,4/20/2017,1.22
Client 4,Site 4,China,Focused Improvement,4/25/2017,1.3
Client 4,Site 4,China,Focused Improvement,2/20/2018,1.33
Client 4,Site 4,China,Focused Improvement,4/23/2018,1.41
Client 4,Site 4,China,Focused Improvement,5/3/2018,1.41
Client 4,Site 4,China,Focused Improvement,6/6/2018,1.22
Client 4,Site 4,China,Focused Improvement,7/26/2018,1.5
Client 4,Site 4,China,Leading and Managing Change,6/20/2016,2
Client 4,Site 4,China,Leading and Managing Change,9/19/2016,1.86
Client 4,Site 4,China,Leading and Managing Change,4/20/2017,1.74
Client 4,Site 4,China,Leading and Managing Change,5/15/2018,1
Client 4,Site 4,China,Teamwork,7/11/2016,1
Client 4,Site 4,China,Teamwork,7/12/2016,1.48
Client 4,Site 4,China,Teamwork,9/2/2016,2
Client 4,Site 4,China,Teamwork,9/26/2016,1.96
Client 4,Site 4,China,Teamwork,4/20/2017,1.65
Client 4,Site 4,China,Teamwork,4/25/2017,1.65
Client 4,Site 4,China,Teamwork,9/21/2017,1.68
Client 4,Site 4,China,Teamwork,10/25/2017,1.67
Client 4,Site 4,China,Teamwork,4/23/2018,1.75
Client 4,Site 4,China,Teamwork,5/3/2018,1.73
Client 4,Site 4,China,Teamwork,7/26/2018,1.9
Client 4,Site 4,China,Visual Management,8/29/2016,1.68
Client 4,Site 4,China,Visual Management,9/7/2016,1.96
Client 4,Site 4,China,Visual Management,10/25/2016,1.96
Client 4,Site 4,China,Visual Management,4/20/2017,1.5
Client 4,Site 4,China,Visual Management,4/25/2017,1.62
Client 4,Site 4,China,Visual Management,7/18/2017,1.87
Client 4,Site 4,China,Visual Management,9/27/2017,1.89
Client 4,Site 4,China,Visual Management,10/25/2017,1.82
Client 4,Site 4,China,Visual Management,4/23/2018,1.92
Client 4,Site 4,China,Visual Management,5/3/2018,1.98
